# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_clocktown_v1
# Exported by: code_gs
setting:	replacespawns 0
weapon_ttt_smokegrenade	-1128.964600 2035.554565 -118.439484	0.206 -0.210 -0.038
weapon_ttt_smokegrenade	-1127.938843 2042.016846 -118.398567	0.136 -0.229 -0.023
weapon_ttt_smokegrenade	51.725647 2687.162598 -2.376676	3.990 -0.183 -2.379
weapon_ttt_smokegrenade	555.999573 -826.351135 -203.504807	0.237 0.002 0.132
weapon_ttt_smokegrenade	588.982605 -823.481079 -203.447571	3.686 -0.117 -3.832
weapon_ttt_smokegrenade	-18.335844 1166.060181 -548.256226	-79.163 149.402 90.333
weapon_ttt_smokegrenade	-198.732498 1040.219238 -548.404785	23.640 68.357 89.688
weapon_ttt_smokegrenade	1697.864502 -244.464783 -203.405487	2.454 -0.126 -2.525
weapon_ttt_smokegrenade	1682.104492 -244.769379 -203.406784	2.556 -0.131 -2.643
weapon_ttt_smokegrenade	568.180298 539.875610 -330.020874	1.832 -0.118 -1.887
weapon_ttt_smokegrenade	569.554382 556.914795 -330.039581	2.305 -0.126 -2.368
weapon_ttt_smokegrenade	570.431091 571.664124 -330.104675	1.381 0.011 -1.203
weapon_ttt_smokegrenade	1005.314209 2904.502930 -732.490845	0.307 0.002 0.048
weapon_ttt_smokegrenade	1030.869141 2903.310303 -732.408875	2.657 -0.129 -2.743
weapon_ttt_smokegrenade	-1446.896729 -354.992676 -618.444824	0.215 -0.204 -0.040
weapon_ttt_smokegrenade	-1458.745361 -370.840729 -618.477844	0.271 -0.174 -0.053
ttt_random_weapon	234.207779 2691.555420 -20.805506	1.937 4.784 -92.455
ttt_random_weapon	329.604034 2906.955811 -106.782051	1.673 4.766 -93.061
ttt_random_weapon	471.074951 2902.714111 -55.780281	1.653 4.765 -93.106
ttt_random_weapon	1398.149536 1032.787964 -24.807991	1.965 4.787 -92.390
ttt_random_weapon	1399.014038 1064.003052 -24.797962	1.852 4.778 -92.649
ttt_random_weapon	1403.537109 1099.595215 -24.793327	1.800 4.775 -92.769
ttt_random_weapon	1407.659546 1132.599976 -24.793961	1.807 4.775 -92.753
ttt_random_weapon	1418.896484 1170.744019 -24.792091	1.786 4.774 -92.801
ttt_random_weapon	1701.054932 -741.455994 -126.769943	1.536 4.756 -93.374
ttt_random_weapon	1654.394165 -776.203552 -126.782051	1.673 4.766 -93.061
ttt_random_weapon	1574.934814 -746.848022 -126.789162	1.753 4.772 -92.877
ttt_random_weapon	1587.342163 -692.219910 -126.796593	1.837 4.777 -92.685
ttt_random_weapon	1656.607788 -690.953125 -126.786972	1.728 4.770 -92.933
ttt_random_weapon	-524.662170 160.439713 -426.799377	1.868 4.779 -92.613
ttt_random_weapon	-522.178040 129.285568 -426.801575	1.893 4.781 -92.556
ttt_random_weapon	-520.631775 86.694481 -426.784393	1.700 4.768 -92.999
ttt_random_weapon	-72.863701 143.616684 -426.793304	1.800 4.775 -92.769
ttt_random_weapon	-80.973930 104.576180 -426.766266	1.494 4.753 -93.469
ttt_random_weapon	-82.719154 74.318459 -426.812408	1.751 3.037 -92.579
ttt_random_weapon	114.026253 -720.507996 -426.795258	1.822 4.776 -92.719
ttt_random_weapon	71.646675 -719.278564 -426.792084	1.786 4.774 -92.801
ttt_random_weapon	36.905689 -717.586914 -426.757080	1.390 4.743 -93.708
ttt_random_weapon	404.128876 141.531647 -328.805084	1.899 5.713 -92.676
ttt_random_weapon	390.044006 196.935944 -328.801208	1.858 5.714 -92.761
ttt_random_weapon	398.706055 256.781189 -328.812866	1.981 5.707 -92.506
ttt_random_weapon	476.813751 159.593460 -328.839661	2.265 5.679 -91.922
ttt_random_weapon	462.965057 195.865463 -328.796936	1.812 5.715 -92.855
ttt_random_weapon	463.558777 252.164413 -328.816681	2.022 5.704 -92.423
ttt_random_weapon	1347.147217 1406.710205 -735.782776	1.681 4.924 -93.041
ttt_random_weapon	1343.241211 1361.674194 -735.800537	1.882 4.926 -92.582
ttt_random_weapon	1336.127563 1328.333252 -735.775757	1.602 4.919 -93.222
ttt_random_weapon	-1445.123901 -309.186432 -621.804260	1.890 5.712 -92.694
ttt_random_weapon	-1457.095459 -330.936554 -621.776855	1.598 5.722 -93.294
ttt_random_weapon	-1478.380249 -358.663025 -621.790588	1.745 5.717 -92.993
ttt_random_weapon	-1510.557983 -380.042206 -621.776855	1.598 5.722 -93.294
ttt_random_weapon	-1534.300293 -397.563110 -621.779236	1.624 5.719 -93.242
ttt_random_weapon	-678.630920 -671.469116 -455.421509	1.678 4.767 -93.049
item_ammo_smg1_ttt	-2589.031250 2428.619385 -230.419647	-71.235 99.097 -178.077
item_ammo_smg1_ttt	-2602.798096 2490.579834 -230.955109	72.261 -51.379 -178.918
item_ammo_smg1_ttt	-2660.601563 2336.234131 -230.725571	73.802 -119.666 -177.223
item_ammo_smg1_ttt	-2611.938477 2413.891602 -231.882614	77.354 56.656 174.656
item_ammo_smg1_ttt	-945.343506 1876.829468 -121.795425	-7.811 0.131 -0.178
item_ammo_smg1_ttt	-961.043640 1875.636597 -122.460915	-0.283 0.965 0.023
item_ammo_smg1_ttt	1703.634277 915.255798 -113.457802	-0.121 -0.018 0.104
item_ammo_smg1_ttt	1690.709595 915.574219 -113.478813	-0.383 0.151 0.274
item_ammo_smg1_ttt	-436.488983 1303.297241 -549.573486	0.590 -0.003 0.384
item_ammo_smg1_ttt	-418.314484 1308.773071 -549.501221	-0.853 0.013 -0.634
item_ammo_smg1_ttt	-365.329346 1310.111816 -549.493530	-0.432 0.011 -0.343
item_ammo_smg1_ttt	-350.627960 1315.087524 -549.608337	0.109 -0.005 0.061
item_ammo_smg1_ttt	381.714417 -692.572327 -207.515244	-0.795 0.003 -0.644
item_ammo_smg1_ttt	363.832092 -688.380188 -207.571426	-0.666 0.003 0.435
weapon_ttt_m16	-2412.211914 2162.280273 -242.773056	2.110 -8.355 85.180
weapon_ttt_m16	-2343.801514 2195.054199 -242.778503	2.043 -8.241 85.273
weapon_ttt_m16	-1004.355652 1878.038330 -121.826782	2.251 -8.519 84.523
weapon_ttt_m16	1655.478394 936.763306 -112.786285	2.069 -8.305 85.186
weapon_ttt_m16	-130.765549 1126.454224 -548.855469	2.040 -8.320 84.094
weapon_ttt_m16	-119.359917 1059.588257 -548.854797	2.040 -8.321 84.103
item_box_buckshot_ttt	-1032.897827 1840.794678 -122.525215	-0.994 0.007 -0.384
item_box_buckshot_ttt	-1039.614258 1851.171143 -122.546173	1.427 -0.076 -0.350
item_box_buckshot_ttt	1382.873291 1240.582886 -25.644766	1.039 0.001 -0.835
item_box_buckshot_ttt	1403.634155 1243.986694 -25.617462	-0.421 0.000 0.428
item_box_buckshot_ttt	1637.151001 851.305420 -113.556793	-0.743 0.033 -1.345
item_box_buckshot_ttt	1626.710815 851.696228 -113.515373	-0.300 0.019 -0.543
item_box_buckshot_ttt	-448.430786 1095.533081 -549.618896	0.180 0.172 -0.094
item_box_buckshot_ttt	-427.234009 1092.822510 -549.564087	-0.049 0.478 -0.589
item_box_buckshot_ttt	-449.511383 1159.791016 -549.659119	-0.092 0.002 0.088
item_box_buckshot_ttt	-432.087555 1157.002319 -549.579651	0.349 0.159 0.654
ttt_random_ammo	448.540375 2733.738525 -39.606297	0.815 0.009 0.938
ttt_random_ammo	471.132660 2737.395020 -39.688023	0.047 0.000 -0.037
ttt_random_ammo	495.802765 2735.268066 -39.685276	0.047 0.000 -0.036
ttt_random_ammo	531.697021 2746.316895 -39.662388	0.046 0.000 -0.025
ttt_random_ammo	534.889771 2711.077393 -39.644573	0.056 0.000 -0.004
